sending,sending_citizen_unspecified,sending_citizenship_unknown,sending_household_not_owned,sending_household_owned,sending_household_owned_unknown,sending_indigeneity,sending_internet,sending_internet_unknown,sending_marriage_unknown,sending_married,sending_no_indigeneity,sending_no_internet,sending_not_citizen,sending_rural,sending_salary_worker,sending_self_employed,sending_separated,sending_single,sending_sum_income,sending_total_pop,sending_unknown_employment_status,sending_unknown_indigeneity,sending_unpaid_worker,sending_urban,sending_weighted_avg_income,sending_weighted_avg_income_abroad,sending_weighted_avg_no_income_abroad,sending_weighted_avg_unknown_income_abroad,sending_widowed,US_MIG_05_10
20281,186.9624665,-1,247.3076923,186.915493,23.85714286,190.5382514,-1,-1,-1,271.2674419,-1,185.9653333,-1,185.9653333,2041.769231,881.5102041,262,108.2758621,69737,750,-1,-1,0,-1,185.9653333,642.8,174.4049587,0,107.15,66
20282,357.2792608,-1,303.8939394,363.9196217,-1,301.2352941,344.3928571,214.3,-1,591.3422222,488.5875,359.6651885,-1,355.8179959,3600.375,1454.444444,619.1111111,144.463964,173995,978,1266.666667,158.3913043,0,-1,355.8179959,-1,360.2380952,-1,103.125,14
20283,368.964375,-1,297.4723926,377.862622,-1,372.348852,-1,-1,-1,634.5936556,225,368.7339163,-1,-1,3133.809524,1777.886878,831.9393939,122.5359318,590343,3202,-1,153.8461538,0,370.3531995,368.7339163,528.7792208,359.7236148,535.75,508.2650602,75
20284,839.6534871,411.4,960.8821138,818.0307495,657.1481481,892.9529617,1914.25,-1,-1,1348.425363,742.0324963,828.1685887,0,834.823337,3475.351974,1842.027344,1120.493671,430.0778509,1531066,3668,500,400,0,-1,834.823337,524.0071942,867.5977354,141.1764706,364.9135802,167
20285,425.219664,-1,456.0441176,417.6962687,-1,406.1863395,1553.583333,964.25,428.6,638.9558621,671.5824176,404.1597484,53.625,422.5939431,2995.884146,1954.846939,887.4067797,218.2781547,683757,3236,28.56666667,532.3157895,0,-1,422.5939431,390.388,427.8428466,473.6842105,55.90217391,637
20286,315.621118,-1,406,307.8642857,-1,473.0655738,-1,-1,-1,560.2432432,224.0612245,321.6139241,-1,315.621118,3091.125,150.7777778,-1,137.6029412,50815,322,-1,0,0,-1,315.621118,-1,321.6139241,0,-1,9
20287,379.5189003,-1,1092.875,360.6276596,-1,380.8275862,-1,-1,-1,619.7391304,-1,379.5189003,-1,379.5189003,1249.083333,1051.75,781.2307692,130.1641791,110440,582,-1,-1,0,-1,379.5189003,-1,379.5189003,-1,413.2857143,54
20288,594.3924731,-1,572.4925373,598.6,-1,655.0248227,-1,-1,-1,919.4172662,536.3284672,599.7667269,-1,591.2139037,4311.285714,2716.454545,299.125,315.4292035,331671,1122,-1,-1,0,-1,591.2139037,300.3010753,651.8090129,-1,-1,60
20289,231.2919255,-1,183.7777778,226.5395894,888.8888889,191.9264706,-1,-1,-1,219.5164319,243.9088319,227.0609756,-1,226.1417004,2841.25,1155.222222,-1,259.428,99671,988,-1,0,0,-1,226.1417004,92.17763158,285.6812865,-1,5.263157895,266
20290,376.437058,-1,476.2283465,368.5165663,-1,329.1959866,1285.666667,-1,0,584.9090909,558.8302469,372.1459125,-1,375.5517404,4171.17341,853.4444444,833.3333333,215.8415398,798423,4252,0,407.8631922,0,-1,375.5517404,250,383.6423611,-1,191.3913043,609
20291,143.7492918,-1,27.86885246,157.8908228,0,118.8764045,357.1428571,29.55172414,-1,293.7941176,186.1570881,145.8098068,-1,143.1410437,1903,1045.983333,0,31.0616622,99487,1418,142.8333333,-1,0,-1,143.1410437,0,146.9777117,95.22222222,0,353
20292,2892.905438,2805.272727,2777.505737,2916.886186,5571.466667,3004.132545,3815.20255,-1,-1,4732.10829,2832.357051,2200.178227,1055.470588,2616.49454,6569.494574,6737.365407,4931.305128,1151.840371,10898533,15868,1483.564103,2903.914286,0,2987.764993,2884.909882,1803.320946,2929.35387,2469.52381,1243.177778,113
20293,1599.204076,1000,1395.853181,1641.047902,1571.444444,1552.131197,2685.783231,0,-1,2558.707759,1671.698356,1421.331,-1,1353.789683,5133.183206,3744.814634,2952.607527,787.9813953,3739704,6984,1224.428571,1461.614583,0,1638.660308,1597.54496,1234.074074,1641.665703,-1,703.6521739,218
20294,1578.238263,1063.882353,1392.138723,1627.990793,2068.970588,1483.937168,2516.618863,1792.9,654.5454545,2579.221896,1575.373141,1375.947118,409.0909091,1333.378571,4938.577228,4388.370672,2265.2,662.6725746,4543355,9152,4490,2705.195122,0,1586.174814,1570.706512,1272.17609,1624.093878,908.8648649,634.2888889,341
20295,304.9042316,-1,157.0186916,353.2382353,-1,298.5652174,-1,-1,-1,496.4363636,803.625,306.2684564,-1,304.2266667,3477.652174,3557.25,125,141.5459459,136902,900,-1,-1,0,-1,304.2266667,326.0961538,310.5271739,189.0333333,0,94
20296,122.9102142,514.2,322.6292135,105.5488851,-1,119.6575782,-1,-1,-1,220.6960276,-1,120.9434263,-1,120.9434263,2740.365385,1342.8,-1,39.1607445,151784,2510,2571,428.5,0,-1,120.9434263,269.7317881,73.79328437,-1,11.90277778,1411
20297,1190.801206,75,1421.526168,1141.966014,854.7666667,1226.033283,2372.066986,723.8,-1,1836.556079,1122.788066,1104.658744,676.7368421,648.2366127,3452.671538,2953.590802,1594.962264,588.9386056,3819768,12676,2059.384615,829.2371542,0,1369.106086,1186.443358,1143.760417,1193.48783,521.0526316,366.4571429,143
20298,303.6425926,0,278.7355372,309.9616307,123.25,305.6210131,233.7272727,-1,857,344.2186235,178.5,301.6747664,-1,300.3058608,3299.125,1737.203125,660,163.141129,163967,1092,-1,0,0,-1,300.3058608,296.7924528,313.9375,168.7333333,814.3,101
20299,527.8906108,1324.636364,560.2586751,527.3780323,409.0454545,434.9521858,1391.883117,-1,0,973.9520183,1303.705056,416.1478439,-1,181.9031447,4055.468843,1802.363636,1462.453608,176.2553685,1245262,6614,368.3478261,617.3913043,0,639.8272293,529.7426671,485.8257373,539.7408935,-1,181.0131579,101
20300,849.9274966,-1,848.4545455,832.7051793,910.75,797.6790123,2039.666667,-1,-1,1253.628205,801.0266667,778.2230114,-1,838.4574899,3271.900901,2358.862385,1505.37037,499.4264706,621297,1482,250,1609.138889,0,-1,838.4574899,784.0869565,845.2980626,-1,339.9137931,46
20301,266.3998179,-1,150.4384615,273.5641026,-1,299.5597138,1000,628.5714286,-1,423.6138855,99.88346883,263.4389016,-1,141.3290094,3057.432836,1082.209877,319.2181818,166.233777,585014,4394,0,350.6363636,0,344.823573,266.2785617,243.9574468,269.4402799,-1,168.279661,252
20302,566.2350598,-1,890.6666667,501.4326241,-1,557.5910931,428.625,-1,-1,751.7635468,977.7777778,566.171371,-1,563.9880952,2732.906977,1954.321429,881.8846154,425.1478261,284250,1008,514.4,-1,0,-1,563.9880952,293.5645161,603.361949,545.4545455,242.8666667,77
20303,190.162465,-1,208.7948718,188.4700315,-1,151.0125392,-1,-1,-1,324.3274854,375,189.1030641,-1,189.1030641,3191.952381,171.4,0,74.28,67888,718,-1,964.375,0,-1,189.1030641,0,192.3172805,-1,38.96969697,11
20304,1830.059245,0,1616.390756,1857.259912,1514.302326,1968.616367,3000.273585,3625,-1,2960.340022,1170.926027,1413.377165,-1,-1,6569.346405,3553.582222,2089.507937,813.5997866,3778272,4198,1714.222222,1000,0,1824.828013,1824.828013,2642.855263,1795.88014,1671.448276,1148.215385,24
20305,364.2056022,-1,975.6511628,334.4365032,0,374.28051,549.5333333,55.5,-1,658.6154873,269.0943396,363.4736544,-1,364.0016797,4090.531532,1048.438503,942.8571429,132.4899895,650107,3572,-1,155.8484848,0,-1,364.0016797,232.1875,376.9723247,-1,170.7727273,519
20306,904.5483279,1428.666667,1042.244556,890.757384,521.0196078,942.4841663,1367.193642,311.974359,1214.333333,1438.533658,711.4676851,834.448482,-1,905.3241758,4158.335351,1875.969868,1201.379121,416.9856823,3019594,9828,187.7684211,1608.714286,0,-1,905.3241758,1277.668605,897.3659159,166.6666667,183.0643777,118
